布局,分布,线程,轮次,操作数,每秒操作,P50纳秒,P95纳秒,P99纳秒,拒绝重试
原子u64,256键均匀,1,1,200000,2727008,333,375,458,0
原子u64,256键均匀,1,2,200000,2789773,292,375,417,0
原子u64,256键均匀,1,3,200000,2793813,292,375,417,0
原子u64,256键均匀,4,1,200000,1096937,1291,13375,27500,29641
原子u64,256键均匀,4,2,200000,980906,1291,16417,31792,33608
原子u64,256键均匀,4,3,200000,906751,1333,17583,31291,34263
原子u64,单键热点,1,1,200000,2686010,292,334,416,0
原子u64,单键热点,1,2,200000,2825284,292,375,417,0
原子u64,单键热点,1,3,200000,2743741,292,375,417,0
原子u64,单键热点,4,1,200000,1124581,417,16917,49083,151123
原子u64,单键热点,4,2,200000,1126142,459,16125,44625,178698
原子u64,单键热点,4,3,200000,1120954,417,16917,48541,150552
变长32至512字节,256键均匀,1,1,200000,2017454,417,500,542,0
变长32至512字节,256键均匀,1,2,200000,1980522,417,500,584,0
变长32至512字节,256键均匀,1,3,200000,1927075,417,500,584,0
变长32至512字节,256键均匀,4,1,200000,729698,1500,21000,40083,34450
变长32至512字节,256键均匀,4,2,200000,922675,1417,16333,30625,30799
变长32至512字节,256键均匀,4,3,200000,1313247,1375,9333,18042,26584
变长32至512字节,单键热点,1,1,200000,2161653,416,459,500,0
变长32至512字节,单键热点,1,2,200000,2186866,375,458,500,0
变长32至512字节,单键热点,1,3,200000,2173688,416,458,500,0
变长32至512字节,单键热点,4,1,200000,977596,2042,13166,21708,407790
变长32至512字节,单键热点,4,2,200000,841177,1375,18500,45500,323900
变长32至512字节,单键热点,4,3,200000,866599,1834,17084,41708,364874
