布局,分布,线程,轮次,操作数,每秒操作,P50纳秒,P95纳秒,P99纳秒,拒绝重试
原子u64,256键均匀,1,1,200000,2684514,333,375,417,0
原子u64,256键均匀,1,2,200000,2677370,333,375,458,0
原子u64,256键均匀,1,3,200000,2625970,333,416,459,0
原子u64,256键均匀,4,1,200000,850858,1250,17917,34791,38952
原子u64,256键均匀,4,2,200000,654790,1084,21333,46709,40233
原子u64,256键均匀,4,3,200000,1035037,1250,14667,29834,32441
原子u64,单键热点,1,1,200000,2751017,292,334,416,0
原子u64,单键热点,1,2,200000,2770558,292,375,417,0
原子u64,单键热点,1,3,200000,2751396,292,375,417,0
原子u64,单键热点,4,1,200000,1028254,500,19042,46250,168943
原子u64,单键热点,4,2,200000,1078011,416,18833,52500,125471
原子u64,单键热点,4,3,200000,1118230,542,15584,43000,188560
变长32至512字节,256键均匀,1,1,200000,1887100,458,542,625,0
变长32至512字节,256键均匀,1,2,200000,1906049,458,500,584,0
变长32至512字节,256键均匀,1,3,200000,1953079,458,500,584,0
变长32至512字节,256键均匀,4,1,200000,1146938,1417,10791,21584,22122
变长32至512字节,256键均匀,4,2,200000,1080755,1417,11375,23875,23936
变长32至512字节,256键均匀,4,3,200000,941289,1459,15167,29792,25127
变长32至512字节,单键热点,1,1,200000,1910020,458,500,583,0
变长32至512字节,单键热点,1,2,200000,1885087,417,500,542,0
变长32至512字节,单键热点,1,3,200000,2017811,417,500,542,0
变长32至512字节,单键热点,4,1,200000,830875,2083,16417,40667,433538
变长32至512字节,单键热点,4,2,200000,815531,1833,18417,43417,337130
变长32至512字节,单键热点,4,3,200000,825911,2083,16334,40666,430912
