布局,分布,线程,轮次,操作数,每秒操作,P50纳秒,P95纳秒,P99纳秒,拒绝重试
原子u64,256键均匀,1,1,200000,2703319,333,375,417,0
原子u64,256键均匀,1,2,200000,2780737,292,375,417,0
原子u64,256键均匀,1,3,200000,2776844,292,375,458,0
原子u64,256键均匀,4,1,200000,812963,1375,19916,35875,36987
原子u64,256键均匀,4,2,200000,828064,1333,19666,35500,32499
原子u64,256键均匀,4,3,200000,779446,1333,20833,39541,33349
原子u64,单键热点,1,1,200000,2873494,292,334,416,0
原子u64,单键热点,1,2,200000,2701977,292,334,417,0
原子u64,单键热点,1,3,200000,2741834,292,334,417,0
原子u64,单键热点,4,1,200000,1058633,500,18208,47417,182207
原子u64,单键热点,4,2,200000,1161083,416,16250,44583,161401
原子u64,单键热点,4,3,200000,1463915,334,7625,29000,152995
变长32至512字节,256键均匀,1,1,200000,2037983,417,500,583,0
变长32至512字节,256键均匀,1,2,200000,1891465,417,541,625,0
变长32至512字节,256键均匀,1,3,200000,1981813,417,500,625,0
变长32至512字节,256键均匀,4,1,200000,835284,1541,18000,33125,28361
变长32至512字节,256键均匀,4,2,200000,828298,1334,17625,32791,27778
变长32至512字节,256键均匀,4,3,200000,569216,2208,25250,47125,40761
变长32至512字节,单键热点,1,1,200000,1808074,417,500,584,0
变长32至512字节,单键热点,1,2,200000,1916753,417,541,584,0
变长32至512字节,单键热点,1,3,200000,1634228,417,500,1083,0
变长32至512字节,单键热点,4,1,200000,963996,459,16667,63292,77645
变长32至512字节,单键热点,4,2,200000,768755,792,22417,58875,261520
变长32至512字节,单键热点,4,3,200000,752917,1125,23375,49500,312930
