布局,分布,线程,轮次,操作数,每秒操作,P50纳秒,P95纳秒,P99纳秒,拒绝重试
原子u64,256键均匀,1,1,200000,2734569,333,375,417,0
原子u64,256键均匀,1,2,200000,2828581,292,334,417,0
原子u64,256键均匀,1,3,200000,2826472,292,334,417,0
原子u64,256键均匀,4,1,200000,1083500,1292,14041,28291,28028
原子u64,256键均匀,4,2,200000,982733,1291,16292,31375,27418
原子u64,256键均匀,4,3,200000,1002304,1250,16208,31333,30629
原子u64,单键热点,1,1,200000,2923948,292,334,375,0
原子u64,单键热点,1,2,200000,2853873,292,375,417,0
原子u64,单键热点,1,3,200000,2814437,292,375,417,0
原子u64,单键热点,4,1,200000,1097965,542,15750,43375,201716
原子u64,单键热点,4,2,200000,1109064,583,15292,39250,217439
原子u64,单键热点,4,3,200000,1131412,583,15208,41667,210095
变长32至512字节,256键均匀,1,1,200000,1993750,417,500,583,0
变长32至512字节,256键均匀,1,2,200000,1973475,417,459,541,0
变长32至512字节,256键均匀,1,3,200000,1941119,417,500,542,0
变长32至512字节,256键均匀,4,1,200000,1007064,1458,14000,28542,29656
变长32至512字节,256键均匀,4,2,200000,950963,1417,15125,32208,27733
变长32至512字节,256键均匀,4,3,200000,890469,1417,16542,33292,29194
变长32至512字节,单键热点,1,1,200000,2024508,417,459,541,0
变长32至512字节,单键热点,1,2,200000,2025453,416,459,500,0
变长32至512字节,单键热点,1,3,200000,2071149,416,459,500,0
变长32至512字节,单键热点,4,1,200000,873421,917,17417,46042,301822
变长32至512字节,单键热点,4,2,200000,810344,1250,19792,48958,300646
变长32至512字节,单键热点,4,3,200000,870030,1875,15917,36083,361944
