布局,分布,线程,轮次,操作数,每秒操作,P50纳秒,P95纳秒,P99纳秒,拒绝重试
原子u64,256键均匀,1,1,200000,2625026,333,375,458,0
原子u64,256键均匀,1,2,200000,2693044,333,375,417,0
原子u64,256键均匀,1,3,200000,2720698,333,375,417,0
原子u64,256键均匀,4,1,200000,1052074,1333,14000,27417,27574
原子u64,256键均匀,4,2,200000,1104382,1291,13083,26084,29244
原子u64,256键均匀,4,3,200000,1193346,1292,11292,23334,28890
原子u64,单键热点,1,1,200000,2732034,333,375,417,0
原子u64,单键热点,1,2,200000,2716356,333,375,417,0
原子u64,单键热点,1,3,200000,2710371,333,375,417,0
原子u64,单键热点,4,1,200000,1154956,750,13083,27875,245857
原子u64,单键热点,4,2,200000,1064620,667,15375,40083,237790
原子u64,单键热点,4,3,200000,1101906,1084,13291,30375,299430
变长32至512字节,256键均匀,1,1,200000,1929228,458,500,583,0
变长32至512字节,256键均匀,1,2,200000,1902275,458,541,584,0
变长32至512字节,256键均匀,1,3,200000,1770283,459,542,667,0
变长32至512字节,256键均匀,4,1,200000,688541,1334,21542,46708,40815
变长32至512字节,256键均匀,4,2,200000,856397,1458,17500,33584,27467
变长32至512字节,256键均匀,4,3,200000,917180,1500,15833,30875,26237
变长32至512字节,单键热点,1,1,200000,1982389,417,500,542,0
变长32至512字节,单键热点,1,2,200000,1969619,417,500,542,0
变长32至512字节,单键热点,1,3,200000,1987431,417,500,542,0
变长32至512字节,单键热点,4,1,200000,805042,1541,19375,46000,326740
变长32至512字节,单键热点,4,2,200000,808652,2042,17417,42750,447284
变长32至512字节,单键热点,4,3,200000,765338,1875,21333,46709,388902
