布局,分布,线程,轮次,操作数,每秒操作,P50纳秒,P95纳秒,P99纳秒,拒绝重试
原子u64,256键均匀,1,1,200000,2284629,375,458,541,0
原子u64,256键均匀,1,2,200000,2345770,375,417,500,0
原子u64,256键均匀,1,3,200000,1732462,375,500,583,0
原子u64,256键均匀,4,1,200000,706527,1500,21625,39916,32688
原子u64,256键均匀,4,2,200000,928443,1375,16125,31709,25385
原子u64,256键均匀,4,3,200000,1084606,1375,12958,25708,24224
原子u64,单键热点,1,1,200000,2333027,375,417,500,0
原子u64,单键热点,1,2,200000,2353796,375,417,500,0
原子u64,单键热点,1,3,200000,2012817,375,459,500,0
原子u64,单键热点,4,1,200000,1027021,459,17750,51125,144626
原子u64,单键热点,4,2,200000,1111139,459,12542,43292,147983
原子u64,单键热点,4,3,200000,940687,708,18250,47750,229442
变长32至512字节,256键均匀,1,1,200000,1727444,500,583,667,0
变长32至512字节,256键均匀,1,2,200000,1694369,500,583,667,0
变长32至512字节,256键均匀,1,3,200000,1770142,500,542,625,0
变长32至512字节,256键均匀,4,1,200000,1051818,1541,11875,25750,23459
变长32至512字节,256键均匀,4,2,200000,1154816,1500,9875,20625,22801
变长32至512字节,256键均匀,4,3,200000,790870,1583,18834,39541,28988
变长32至512字节,单键热点,1,1,200000,1799408,459,542,584,0
变长32至512字节,单键热点,1,2,200000,1865347,459,541,583,0
变长32至512字节,单键热点,1,3,200000,1738076,500,584,666,0
变长32至512字节,单键热点,4,1,200000,800073,2250,16125,29583,426826
变长32至512字节,单键热点,4,2,200000,752113,2250,18000,35125,420635
变长32至512字节,单键热点,4,3,200000,805786,2458,15833,26542,447585
