布局,分布,线程,轮次,操作数,每秒操作,P50纳秒,P95纳秒,P99纳秒,拒绝重试
原子u64,256键均匀,1,1,200000,2641025,333,375,417,0
原子u64,256键均匀,1,2,200000,2654578,333,375,417,0
原子u64,256键均匀,1,3,200000,2661334,333,375,417,0
原子u64,256键均匀,4,1,200000,1262181,1334,9833,15542,32625
原子u64,256键均匀,4,2,200000,1056444,1416,12667,24875,33200
原子u64,256键均匀,4,3,200000,728180,1833,20334,35416,44223
原子u64,单键热点,1,1,200000,2743906,333,375,417,0
原子u64,单键热点,1,2,200000,2778157,333,334,417,0
原子u64,单键热点,1,3,200000,2691194,333,375,417,0
原子u64,单键热点,4,1,200000,969923,1750,14958,30125,356211
原子u64,单键热点,4,2,200000,910958,542,20542,49958,215635
原子u64,单键热点,4,3,200000,956517,958,16292,36541,314584
变长32至512字节,256键均匀,1,1,200000,1867024,458,542,625,0
变长32至512字节,256键均匀,1,2,200000,1828587,459,542,625,0
变长32至512字节,256键均匀,1,3,200000,1674861,500,583,709,0
变长32至512字节,256键均匀,4,1,200000,668705,2500,20750,34750,35843
变长32至512字节,256键均匀,4,2,200000,858475,1667,15667,30750,33848
变长32至512字节,256键均匀,4,3,200000,1097693,1500,10500,19375,30363
变长32至512字节,单键热点,1,1,200000,2016748,417,500,541,0
变长32至512字节,单键热点,1,2,200000,1922854,417,500,542,0
变长32至512字节,单键热点,1,3,200000,2017264,417,500,541,0
变长32至512字节,单键热点,4,1,200000,748935,2625,16875,31042,591075
变长32至512字节,单键热点,4,2,200000,746279,3167,16167,28125,649585
变长32至512字节,单键热点,4,3,200000,713619,2000,21458,50167,411840
