布局,分布,线程,轮次,操作数,每秒操作,P50纳秒,P95纳秒,P99纳秒,拒绝重试
原子u64,256键均匀,1,1,200000,2326967,375,417,500,0
原子u64,256键均匀,1,2,200000,2347049,375,417,500,0
原子u64,256键均匀,1,3,200000,2403881,375,417,458,0
原子u64,256键均匀,4,1,200000,1252853,1375,9917,18500,26097
原子u64,256键均匀,4,2,200000,1226421,1375,10042,19916,27065
原子u64,256键均匀,4,3,200000,1009322,1375,13208,34709,30594
原子u64,单键热点,1,1,200000,2260087,375,458,500,0
原子u64,单键热点,1,2,200000,2407495,375,417,459,0
原子u64,单键热点,1,3,200000,2308863,375,458,500,0
原子u64,单键热点,4,1,200000,867427,417,10084,44083,125763
原子u64,单键热点,4,2,200000,968306,1916,14375,25792,384745
原子u64,单键热点,4,3,200000,935023,916,15625,32166,304924
变长32至512字节,256键均匀,1,1,200000,1674431,500,625,750,0
变长32至512字节,256键均匀,1,2,200000,1638808,500,625,750,0
变长32至512字节,256键均匀,1,3,200000,1609345,500,625,792,0
变长32至512字节,256键均匀,4,1,200000,615355,2000,23792,47125,28824
变长32至512字节,256键均匀,4,2,200000,936156,1583,14542,29167,25064
变长32至512字节,256键均匀,4,3,200000,1129650,1500,10041,21833,23103
变长32至512字节,单键热点,1,1,200000,1780733,459,542,584,0
变长32至512字节,单键热点,1,2,200000,1800734,500,542,584,0
变长32至512字节,单键热点,1,3,200000,1809872,459,542,584,0
变长32至512字节,单键热点,4,1,200000,780288,2333,16875,30125,439880
变长32至512字节,单键热点,4,2,200000,770396,2750,16125,28458,575447
变长32至512字节,单键热点,4,3,200000,682855,2209,20042,47000,487181
