布局,分布,线程,轮次,操作数,每秒操作,P50纳秒,P95纳秒,P99纳秒,拒绝重试
原子u64,256键均匀,1,1,200000,2452981,334,417,500,0
原子u64,256键均匀,1,2,200000,2680061,333,375,417,0
原子u64,256键均匀,1,3,200000,2649186,333,375,417,0
原子u64,256键均匀,4,1,200000,736320,1459,21084,36000,36845
原子u64,256键均匀,4,2,200000,893487,1334,17458,32375,30385
原子u64,256键均匀,4,3,200000,805572,1375,19917,37666,35516
原子u64,单键热点,1,1,200000,2638724,333,375,417,0
原子u64,单键热点,1,2,200000,2704001,333,375,417,0
原子u64,单键热点,1,3,200000,2690319,333,375,417,0
原子u64,单键热点,4,1,200000,978338,1625,15125,30375,343972
原子u64,单键热点,4,2,200000,995851,1750,14542,28458,350772
原子u64,单键热点,4,3,200000,1020840,1875,13750,23875,372966
变长32至512字节,256键均匀,1,1,200000,1809646,458,500,583,0
变长32至512字节,256键均匀,1,2,200000,1779657,458,541,584,0
变长32至512字节,256键均匀,1,3,200000,1881742,458,541,584,0
变长32至512字节,256键均匀,4,1,200000,924372,1542,14958,28333,28520
变长32至512字节,256键均匀,4,2,200000,1009440,1541,12875,26125,29403
变长32至512字节,256键均匀,4,3,200000,1182750,1458,9958,19542,25421
变长32至512字节,单键热点,1,1,200000,1952720,458,500,542,0
变长32至512字节,单键热点,1,2,200000,1817975,458,500,542,0
变长32至512字节,单键热点,1,3,200000,1932552,458,500,542,0
变长32至512字节,单键热点,4,1,200000,788295,2083,17500,34750,395298
变长32至512字节,单键热点,4,2,200000,811303,2625,15208,25584,552045
变长32至512字节,单键热点,4,3,200000,740209,1958,20334,41417,368652
