布局,分布,线程,轮次,操作数,每秒操作,P50纳秒,P95纳秒,P99纳秒,拒绝重试
原子u64,256键均匀,1,1,200000,2562255,333,375,458,0
原子u64,256键均匀,1,2,200000,2670215,333,375,417,0
原子u64,256键均匀,1,3,200000,2669311,333,375,417,0
原子u64,256键均匀,4,1,200000,1397305,1333,8666,13750,23569
原子u64,256键均匀,4,2,200000,1357283,1334,9000,14458,23017
原子u64,256键均匀,4,3,200000,1271986,1375,9834,17416,24657
原子u64,单键热点,1,1,200000,2786812,333,334,375,0
原子u64,单键热点,1,2,200000,2808231,333,334,375,0
原子u64,单键热点,1,3,200000,2750357,333,375,417,0
原子u64,单键热点,4,1,200000,1022671,1834,13542,24708,357397
原子u64,单键热点,4,2,200000,1027042,1792,13667,25084,354967
原子u64,单键热点,4,3,200000,971422,542,17709,48500,206922
变长32至512字节,256键均匀,1,1,200000,1906700,458,500,584,0
变长32至512字节,256键均匀,1,2,200000,1900481,458,541,625,0
变长32至512字节,256键均匀,1,3,200000,1899458,458,541,625,0
变长32至512字节,256键均匀,4,1,200000,883371,1583,16084,30792,24022
变长32至512字节,256键均匀,4,2,200000,801439,1625,18000,34750,29446
变长32至512字节,256键均匀,4,3,200000,1088575,1500,11375,23916,24339
变长32至512字节,单键热点,1,1,200000,1937112,458,500,583,0
变长32至512字节,单键热点,1,2,200000,1835769,458,500,583,0
变长32至512字节,单键热点,1,3,200000,1870016,458,542,625,0
变长32至512字节,单键热点,4,1,200000,732272,2083,21458,59084,384978
变长32至512字节,单键热点,4,2,200000,715430,1875,21666,55959,373125
变长32至512字节,单键热点,4,3,200000,784886,2000,17833,39000,380927
