布局,分布,线程,轮次,操作数,每秒操作,P50纳秒,P95纳秒,P99纳秒,拒绝重试
原子u64,256键均匀,1,1,200000,2698963,333,375,417,0
原子u64,256键均匀,1,2,200000,2766706,333,334,417,0
原子u64,256键均匀,1,3,200000,2795014,333,334,416,0
原子u64,256键均匀,4,1,200000,1271745,1291,10084,15958,33371
原子u64,256键均匀,4,2,200000,1363590,1291,9167,15083,31363
原子u64,256键均匀,4,3,200000,1270709,1292,10083,19041,30661
原子u64,单键热点,1,1,200000,2786101,333,375,375,0
原子u64,单键热点,1,2,200000,2758169,333,375,416,0
原子u64,单键热点,1,3,200000,2758015,333,375,417,0
原子u64,单键热点,4,1,200000,1072957,1292,13500,30208,327221
原子u64,单键热点,4,2,200000,1062055,791,15041,33125,254231
原子u64,单键热点,4,3,200000,1057716,916,14666,33875,300456
变长32至512字节,256键均匀,1,1,200000,1923748,458,500,625,0
变长32至512字节,256键均匀,1,2,200000,1924634,458,500,584,0
变长32至512字节,256键均匀,1,3,200000,1892228,458,541,625,0
变长32至512字节,256键均匀,4,1,200000,1051309,1458,12042,24875,24005
变长32至512字节,256键均匀,4,2,200000,1068550,1458,12000,24875,27812
变长32至512字节,256键均匀,4,3,200000,1059590,1458,12459,25375,29802
变长32至512字节,单键热点,1,1,200000,1938479,417,500,542,0
变长32至512字节,单键热点,1,2,200000,1978111,417,500,583,0
变长32至512字节,单键热点,1,3,200000,1852001,458,541,584,0
变长32至512字节,单键热点,4,1,200000,664232,875,27792,58125,245294
变长32至512字节,单键热点,4,2,200000,716204,708,23333,62292,212353
变长32至512字节,单键热点,4,3,200000,794204,2042,19459,52583,413615
