布局,分布,线程,轮次,操作数,每秒操作,P50纳秒,P95纳秒,P99纳秒,拒绝重试
原子u64,256键均匀,1,1,200000,2574457,333,375,458,0
原子u64,256键均匀,1,2,200000,2584977,333,375,459,0
原子u64,256键均匀,1,3,200000,2485699,334,417,459,0
原子u64,256键均匀,4,1,200000,833875,1291,17666,40416,33306
原子u64,256键均匀,4,2,200000,856613,1250,18375,39542,29522
原子u64,256键均匀,4,3,200000,1217258,1292,10500,21250,26790
原子u64,单键热点,1,1,200000,2723097,333,375,416,0
原子u64,单键热点,1,2,200000,2557686,333,417,458,0
原子u64,单键热点,1,3,200000,2547894,334,416,458,0
原子u64,单键热点,4,1,200000,1016808,625,15958,43292,243656
原子u64,单键热点,4,2,200000,976905,1791,14458,28542,358756
原子u64,单键热点,4,3,200000,968549,1958,13917,24208,411501
变长32至512字节,256键均匀,1,1,200000,1767839,459,542,625,0
变长32至512字节,256键均匀,1,2,200000,1820825,459,542,625,0
变长32至512字节,256键均匀,1,3,200000,1794696,459,542,625,0
变长32至512字节,256键均匀,4,1,200000,1122130,1458,10083,20292,26365
变长32至512字节,256键均匀,4,2,200000,1101900,1459,10833,22667,28565
变长32至512字节,256键均匀,4,3,200000,1058038,1459,11541,25500,25429
变长32至512字节,单键热点,1,1,200000,1870535,458,500,583,0
变长32至512字节,单键热点,1,2,200000,1819783,458,542,584,0
变长32至512字节,单键热点,1,3,200000,1900107,458,541,583,0
变长32至512字节,单键热点,4,1,200000,744170,2667,16416,29125,590776
变长32至512字节,单键热点,4,2,200000,789637,2583,16000,29250,529207
变长32至512字节,单键热点,4,3,200000,715550,2167,20417,45583,434324
