布局,分布,线程,轮次,操作数,每秒操作,P50纳秒,P95纳秒,P99纳秒,拒绝重试
原子u64,256键均匀,1,1,200000,2433406,334,417,541,0
原子u64,256键均匀,1,2,200000,2474043,334,417,500,0
原子u64,256键均匀,1,3,200000,2588670,333,375,458,0
原子u64,256键均匀,4,1,200000,940456,1375,15459,31333,34777
原子u64,256键均匀,4,2,200000,674828,1292,23167,45416,37010
原子u64,256键均匀,4,3,200000,670930,1875,22459,38875,38250
原子u64,单键热点,1,1,200000,2338700,333,375,875,0
原子u64,单键热点,1,2,200000,2315164,333,417,459,0
原子u64,单键热点,1,3,200000,2546061,334,416,458,0
原子u64,单键热点,4,1,200000,976473,1041,15291,34333,324569
原子u64,单键热点,4,2,200000,977485,1709,14917,29750,353984
原子u64,单键热点,4,3,200000,871647,584,21833,48333,204739
变长32至512字节,256键均匀,1,1,200000,1820613,459,542,667,0
变长32至512字节,256键均匀,1,2,200000,1857802,458,500,625,0
变长32至512字节,256键均匀,1,3,200000,1858619,458,541,625,0
变长32至512字节,256键均匀,4,1,200000,1193850,1458,9792,18042,28202
变长32至512字节,256键均匀,4,2,200000,1084575,1459,11208,23541,27198
变长32至512字节,256键均匀,4,3,200000,1142519,1459,10292,21208,23895
变长32至512字节,单键热点,1,1,200000,1979956,458,500,542,0
变长32至512字节,单键热点,1,2,200000,1884132,458,500,583,0
变长32至512字节,单键热点,1,3,200000,1913688,458,500,542,0
变长32至512字节,单键热点,4,1,200000,763273,2375,17291,36166,494686
变长32至512字节,单键热点,4,2,200000,768479,2416,17000,34250,501999
变长32至512字节,单键热点,4,3,200000,753431,2292,17958,38167,470345
