布局,分布,线程,轮次,操作数,每秒操作,P50纳秒,P95纳秒,P99纳秒,拒绝重试
原子u64,256键均匀,1,1,200000,2706868,333,334,417,0
原子u64,256键均匀,1,2,200000,2775688,333,334,416,0
原子u64,256键均匀,1,3,200000,2768995,333,334,417,0
原子u64,256键均匀,4,1,200000,1355746,1291,9209,15375,27068
原子u64,256键均匀,4,2,200000,1156487,1291,12042,23958,27250
原子u64,256键均匀,4,3,200000,870844,1292,18417,35208,29915
原子u64,单键热点,1,1,200000,2844793,292,334,417,0
原子u64,单键热点,1,2,200000,2755873,292,375,417,0
原子u64,单键热点,1,3,200000,2856306,292,334,417,0
原子u64,单键热点,4,1,200000,1097141,667,14916,35709,231199
原子u64,单键热点,4,2,200000,1130633,750,13792,29958,253527
原子u64,单键热点,4,3,200000,1124954,750,14041,31000,249983
变长32至512字节,256键均匀,1,1,200000,1953841,417,500,584,0
变长32至512字节,256键均匀,1,2,200000,1879682,458,541,625,0
变长32至512字节,256键均匀,1,3,200000,1905000,458,541,625,0
变长32至512字节,256键均匀,4,1,200000,915819,1375,15375,30000,22082
变长32至512字节,256键均匀,4,2,200000,741766,1542,19583,36250,28518
变长32至512字节,256键均匀,4,3,200000,783816,1375,18583,35375,22420
变长32至512字节,单键热点,1,1,200000,1718075,458,541,584,0
变长32至512字节,单键热点,1,2,200000,1943953,417,500,583,0
变长32至512字节,单键热点,1,3,200000,2049165,417,500,542,0
变长32至512字节,单键热点,4,1,200000,908762,1209,14958,36792,336134
变长32至512字节,单键热点,4,2,200000,887753,1875,15750,34833,368363
变长32至512字节,单键热点,4,3,200000,775837,1292,21333,46875,317014
