布局,分布,线程,轮次,操作数,每秒操作,P50纳秒,P95纳秒,P99纳秒,拒绝重试
原子u64,256键均匀,1,1,200000,2720894,333,375,417,0
原子u64,256键均匀,1,2,200000,2735252,333,375,417,0
原子u64,256键均匀,1,3,200000,2723097,333,375,417,0
原子u64,256键均匀,4,1,200000,760218,1542,20000,33541,46796
原子u64,256键均匀,4,2,200000,734350,1833,20458,33750,40333
原子u64,256键均匀,4,3,200000,1251191,1291,10375,20708,29181
原子u64,单键热点,1,1,200000,2907429,292,334,375,0
原子u64,单键热点,1,2,200000,2767941,292,375,417,0
原子u64,单键热点,1,3,200000,2765892,292,334,416,0
原子u64,单键热点,4,1,200000,1095050,833,14125,33584,278601
原子u64,单键热点,4,2,200000,1068023,500,16833,48000,192150
原子u64,单键热点,4,3,200000,1050153,625,15459,44000,230917
变长32至512字节,256键均匀,1,1,200000,1972439,417,500,583,0
变长32至512字节,256键均匀,1,2,200000,1831182,458,500,584,0
变长32至512字节,256键均匀,1,3,200000,1935129,458,500,584,0
变长32至512字节,256键均匀,4,1,200000,1111768,1458,11250,23250,26253
变长32至512字节,256键均匀,4,2,200000,977677,1458,14125,28542,27309
变长32至512字节,256键均匀,4,3,200000,872886,1500,16916,33250,29190
变长32至512字节,单键热点,1,1,200000,1952567,458,500,542,0
变长32至512字节,单键热点,1,2,200000,1871403,458,500,542,0
变长32至512字节,单键热点,1,3,200000,1945730,458,500,542,0
变长32至512字节,单键热点,4,1,200000,792093,1000,20334,60083,311821
变长32至512字节,单键热点,4,2,200000,734867,1166,21000,52875,312223
变长32至512字节,单键热点,4,3,200000,844567,2208,15375,35958,481239
