布局,分布,线程,轮次,操作数,每秒操作,P50纳秒,P95纳秒,P99纳秒,拒绝重试
原子u64,256键均匀,1,1,200000,2496765,334,417,500,0
原子u64,256键均匀,1,2,200000,2519456,334,416,459,0
原子u64,256键均匀,1,3,200000,2635011,333,375,417,0
原子u64,256键均匀,4,1,200000,1310224,1333,9500,17458,25712
原子u64,256键均匀,4,2,200000,1141687,1250,11667,26167,26378
原子u64,256键均匀,4,3,200000,1206473,1333,10792,21750,23935
原子u64,单键热点,1,1,200000,2649543,333,375,417,0
原子u64,单键热点,1,2,200000,2668406,333,375,417,0
原子u64,单键热点,1,3,200000,2592309,333,375,417,0
原子u64,单键热点,4,1,200000,980802,792,16500,37750,254636
原子u64,单键热点,4,2,200000,960189,750,17583,40167,260364
原子u64,单键热点,4,3,200000,933447,666,19209,45042,229118
变长32至512字节,256键均匀,1,1,200000,1870181,458,541,584,0
变长32至512字节,256键均匀,1,2,200000,1857490,458,542,625,0
变长32至512字节,256键均匀,1,3,200000,1894282,458,500,584,0
变长32至512字节,256键均匀,4,1,200000,1227056,1458,9458,17333,26813
变长32至512字节,256键均匀,4,2,200000,1191560,1459,9667,19458,26071
变长32至512字节,256键均匀,4,3,200000,1243544,1459,9042,16416,24612
变长32至512字节,单键热点,1,1,200000,1815526,458,500,542,0
变长32至512字节,单键热点,1,2,200000,1908390,458,500,542,0
变长32至512字节,单键热点,1,3,200000,1920674,458,500,542,0
变长32至512字节,单键热点,4,1,200000,646670,1792,26208,51334,334234
变长32至512字节,单键热点,4,2,200000,694628,1959,22792,49375,381337
变长32至512字节,单键热点,4,3,200000,745766,2500,17375,33500,538529
