布局,分布,线程,轮次,操作数,每秒操作,P50纳秒,P95纳秒,P99纳秒,拒绝重试
原子u64,256键均匀,1,1,200000,6124691,125,167,167,0
原子u64,256键均匀,1,2,200000,5995414,125,167,208,0
原子u64,256键均匀,1,3,200000,6052727,125,167,208,0
原子u64,256键均匀,4,1,200000,3601738,291,5291,12500,12700
原子u64,256键均匀,4,2,200000,3820555,250,4709,10709,12850
原子u64,256键均匀,4,3,200000,3253024,291,5583,14250,13969
原子u64,单键热点,1,1,200000,6777804,84,125,167,0
原子u64,单键热点,1,2,200000,7288021,84,125,167,0
原子u64,单键热点,1,3,200000,6798501,84,125,167,0
原子u64,单键热点,4,1,200000,2830858,167,6333,12833,246021
原子u64,单键热点,4,2,200000,2588212,125,6917,24458,182845
原子u64,单键热点,4,3,200000,2783680,125,6750,13250,220503
变长32至512字节,256键均匀,1,1,200000,3914712,208,250,292,0
变长32至512字节,256键均匀,1,2,200000,4120642,208,209,291,0
变长32至512字节,256键均匀,1,3,200000,4085277,208,209,250,0
变长32至512字节,256键均匀,4,1,200000,3446018,375,4625,9125,10663
变长32至512字节,256键均匀,4,2,200000,3395987,375,4750,9375,10428
变长32至512字节,256键均匀,4,3,200000,3154738,416,5000,10833,12036
变长32至512字节,单键热点,1,1,200000,3776272,208,250,250,0
变长32至512字节,单键热点,1,2,200000,3300425,208,250,292,0
变长32至512字节,单键热点,1,3,200000,3730937,208,250,250,0
变长32至512字节,单键热点,4,1,200000,1751149,375,9459,18666,343047
变长32至512字节,单键热点,4,2,200000,1695900,375,9917,20958,352245
变长32至512字节,单键热点,4,3,200000,1653890,292,10375,26125,311209
