布局,分布,线程,轮次,操作数,每秒操作,P50纳秒,P95纳秒,P99纳秒,拒绝重试
原子u64,256键均匀,1,1,200000,2823588,292,334,375,0
原子u64,256键均匀,1,2,200000,2891948,292,334,375,0
原子u64,256键均匀,1,3,200000,2879701,292,334,375,0
原子u64,256键均匀,4,1,200000,1418251,1250,8875,14625,27689
原子u64,256键均匀,4,2,200000,1399396,1250,9083,15458,28557
原子u64,256键均匀,4,3,200000,1406938,1291,8917,15125,26191
原子u64,单键热点,1,1,200000,2940450,292,334,375,0
原子u64,单键热点,1,2,200000,2932390,292,334,375,0
原子u64,单键热点,1,3,200000,2862182,292,334,375,0
原子u64,单键热点,4,1,200000,1115511,625,14625,37875,228254
原子u64,单键热点,4,2,200000,1188071,1625,11458,20542,332627
原子u64,单键热点,4,3,200000,1156225,958,12542,27792,290464
变长32至512字节,256键均匀,1,1,200000,1996656,417,459,542,0
变长32至512字节,256键均匀,1,2,200000,1907701,417,459,500,0
变长32至512字节,256键均匀,1,3,200000,1813387,417,500,542,0
变长32至512字节,256键均匀,4,1,200000,1191163,1375,9667,18917,26041
变长32至512字节,256键均匀,4,2,200000,810723,1583,18417,32541,32999
变长32至512字节,256键均匀,4,3,200000,1286407,1375,9000,16208,26833
变长32至512字节,单键热点,1,1,200000,2169330,416,458,459,0
变长32至512字节,单键热点,1,2,200000,2105620,416,458,459,0
变长32至512字节,单键热点,1,3,200000,2120262,375,458,459,0
变长32至512字节,单键热点,4,1,200000,942916,2042,13375,23334,418687
变长32至512字节,单键热点,4,2,200000,961096,2375,12167,20000,535222
变长32至512字节,单键热点,4,3,200000,961718,2292,12250,20542,532402
