布局,分布,线程,轮次,操作数,每秒操作,P50纳秒,P95纳秒,P99纳秒,拒绝重试
原子u64,256键均匀,1,1,200000,2222413,375,500,791,0
原子u64,256键均匀,1,2,200000,2820283,292,375,417,0
原子u64,256键均匀,1,3,200000,2759769,333,375,458,0
原子u64,256键均匀,4,1,200000,918977,1250,17750,34166,30728
原子u64,256键均匀,4,2,200000,895106,1250,18458,35334,33488
原子u64,256键均匀,4,3,200000,759107,1208,22125,44458,39482
原子u64,单键热点,1,1,200000,2703519,292,375,417,0
原子u64,单键热点,1,2,200000,2824696,292,375,417,0
原子u64,单键热点,1,3,200000,2832844,292,375,417,0
原子u64,单键热点,4,1,200000,1090225,500,16500,41584,193798
原子u64,单键热点,4,2,200000,1022140,459,19666,46125,160613
原子u64,单键热点,4,3,200000,984326,417,18833,46666,159177
变长32至512字节,256键均匀,1,1,200000,1735888,417,541,666,0
变长32至512字节,256键均匀,1,2,200000,2016753,417,500,583,0
变长32至512字节,256键均匀,1,3,200000,1949635,417,500,584,0
变长32至512字节,256键均匀,4,1,200000,685930,1625,21791,40959,37684
变长32至512字节,256键均匀,4,2,200000,648212,1791,22666,42083,26996
变长32至512字节,256键均匀,4,3,200000,717395,1417,21125,41792,19584
变长32至512字节,单键热点,1,1,200000,2004129,417,500,583,0
变长32至512字节,单键热点,1,2,200000,1864899,458,542,625,0
变长32至512字节,单键热点,1,3,200000,1862226,417,500,583,0
变长32至512字节,单键热点,4,1,200000,802004,542,20833,72834,126730
变长32至512字节,单键热点,4,2,200000,747081,792,24708,59291,233946
变长32至512字节,单键热点,4,3,200000,860359,750,19209,56042,257303
