布局,分布,线程,轮次,操作数,每秒操作,P50纳秒,P95纳秒,P99纳秒,拒绝重试
原子u64,256键均匀,1,1,200000,6015135,125,167,208,0
原子u64,256键均匀,1,2,200000,6501475,125,125,167,0
原子u64,256键均匀,1,3,200000,6516781,125,125,208,0
原子u64,256键均匀,4,1,200000,3625139,292,5000,10542,13843
原子u64,256键均匀,4,2,200000,2974202,291,6375,16708,20561
原子u64,256键均匀,4,3,200000,3986098,292,4834,9292,13369
原子u64,单键热点,1,1,200000,7459057,83,125,125,0
原子u64,单键热点,1,2,200000,7570667,83,125,125,0
原子u64,单键热点,1,3,200000,7316449,83,125,125,0
原子u64,单键热点,4,1,200000,2925456,125,5708,15458,240248
原子u64,单键热点,4,2,200000,2956182,167,5750,12208,275730
原子u64,单键热点,4,3,200000,2794166,125,6000,15750,230595
变长32至512字节,256键均匀,1,1,200000,3960229,208,250,292,0
变长32至512字节,256键均匀,1,2,200000,3974434,208,250,292,0
变长32至512字节,256键均匀,1,3,200000,3898088,208,250,292,0
变长32至512字节,256键均匀,4,1,200000,3140089,416,4750,11042,12436
变长32至512字节,256键均匀,4,2,200000,1793298,417,10125,23542,24258
变长32至512字节,256键均匀,4,3,200000,1591746,417,11583,29417,27883
变长32至512字节,单键热点,1,1,200000,3876219,208,250,292,0
变长32至512字节,单键热点,1,2,200000,3901459,208,209,250,0
变长32至512字节,单键热点,1,3,200000,4143500,167,209,250,0
变长32至512字节,单键热点,4,1,200000,1864318,791,7333,13917,532248
变长32至512字节,单键热点,4,2,200000,1639030,375,10208,25750,397026
变长32至512字节,单键热点,4,3,200000,1585297,709,9291,24584,435128
