布局,分布,线程,轮次,操作数,每秒操作,P50纳秒,P95纳秒,P99纳秒,拒绝重试
原子u64,256键均匀,1,1,200000,2784898,333,334,417,0
原子u64,256键均匀,1,2,200000,2888652,292,334,375,0
原子u64,256键均匀,1,3,200000,2847703,292,334,375,0
原子u64,256键均匀,4,1,200000,1237893,1292,10750,21250,28656
原子u64,256键均匀,4,2,200000,1073933,1333,13583,24959,34435
原子u64,256键均匀,4,3,200000,1417892,1292,8875,15084,25637
原子u64,单键热点,1,1,200000,2925873,292,334,334,0
原子u64,单键热点,1,2,200000,2905423,292,334,375,0
原子u64,单键热点,1,3,200000,2787591,292,375,417,0
原子u64,单键热点,4,1,200000,1113312,709,14375,31417,235607
原子u64,单键热点,4,2,200000,1034966,666,16917,38917,235766
原子u64,单键热点,4,3,200000,1038051,666,16500,39833,235729
变长32至512字节,256键均匀,1,1,200000,2009273,417,459,542,0
变长32至512字节,256键均匀,1,2,200000,2075965,417,459,542,0
变长32至512字节,256键均匀,1,3,200000,1998030,417,459,541,0
变长32至512字节,256键均匀,4,1,200000,1163427,1416,10584,23083,28785
变长32至512字节,256键均匀,4,2,200000,1015093,1458,13209,26291,30053
变长32至512字节,256键均匀,4,3,200000,894125,1458,16375,32750,31475
变长32至512字节,单键热点,1,1,200000,2180071,375,458,500,0
变长32至512字节,单键热点,1,2,200000,2093005,416,459,500,0
变长32至512字节,单键热点,1,3,200000,2092496,416,458,500,0
变长32至512字节,单键热点,4,1,200000,916166,1959,14834,30125,375121
变长32至512字节,单键热点,4,2,200000,838922,1792,18000,39250,339380
变长32至512字节,单键热点,4,3,200000,938818,2167,13000,25250,491738
