布局,分布,线程,轮次,操作数,每秒操作,P50纳秒,P95纳秒,P99纳秒,拒绝重试
变长32至512字节,单键热点,4,1,200000,522770,1458,32125,60916,308666
变长32至512字节,单键热点,4,2,200000,799893,2417,15750,28166,548598
变长32至512字节,单键热点,4,3,200000,803643,2500,15625,27833,563790
