布局,分布,线程,轮次,操作数,每秒操作,P50纳秒,P95纳秒,P99纳秒,拒绝重试
原子u64,256键均匀,1,1,200000,2292159,375,417,500,0
原子u64,256键均匀,1,2,200000,2321637,375,417,500,0
原子u64,256键均匀,1,3,200000,2291859,375,458,541,0
原子u64,256键均匀,4,1,200000,947240,1458,15209,28916,24810
原子u64,256键均匀,4,2,200000,1059699,1375,12541,25292,22592
原子u64,256键均匀,4,3,200000,1060776,1416,12583,24875,29446
原子u64,单键热点,1,1,200000,2226021,375,417,459,0
原子u64,单键热点,1,2,200000,2386035,375,417,459,0
原子u64,单键热点,1,3,200000,2420681,375,417,459,0
原子u64,单键热点,4,1,200000,871744,667,20500,49875,232617
原子u64,单键热点,4,2,200000,970125,1000,15292,31000,292951
原子u64,单键热点,4,3,200000,984306,1916,14208,25792,374494
变长32至512字节,256键均匀,1,1,200000,1801399,459,542,625,0
变长32至512字节,256键均匀,1,2,200000,1812162,459,542,625,0
变长32至512字节,256键均匀,1,3,200000,1700312,459,542,625,0
变长32至512字节,256键均匀,4,1,200000,1204541,1500,9291,16125,24221
变长32至512字节,256键均匀,4,2,200000,1281043,1459,8917,14708,24273
变长32至512字节,256键均匀,4,3,200000,1171433,1459,10125,20083,26200
变长32至512字节,单键热点,1,1,200000,1774848,459,500,583,0
变长32至512字节,单键热点,1,2,200000,1747421,459,541,583,0
变长32至512字节,单键热点,1,3,200000,1832008,459,541,583,0
变长32至512字节,单键热点,4,1,200000,758040,2958,15916,27417,601876
变长32至512字节,单键热点,4,2,200000,715786,2333,18666,44333,497657
变长32至512字节,单键热点,4,3,200000,761612,2583,16666,31583,548004
