布局,分布,线程,轮次,操作数,每秒操作,P50纳秒,P95纳秒,P99纳秒,拒绝重试
原子u64,256键均匀,1,1,200000,2377084,375,417,459,0
原子u64,256键均匀,1,2,200000,2382586,375,417,459,0
原子u64,256键均匀,1,3,200000,2386711,375,417,459,0
原子u64,256键均匀,4,1,200000,1353253,1375,8916,14416,22122
原子u64,256键均匀,4,2,200000,1325904,1375,9208,15625,22163
原子u64,256键均匀,4,3,200000,1218200,1375,10333,19916,23420
原子u64,单键热点,1,1,200000,2425073,375,417,458,0
原子u64,单键热点,1,2,200000,1385407,375,959,1084,0
原子u64,单键热点,1,3,200000,2383797,375,417,459,0
原子u64,单键热点,4,1,200000,854570,667,22000,49000,218653
原子u64,单键热点,4,2,200000,806126,625,24458,47500,194722
原子u64,单键热点,4,3,200000,921869,1000,17166,34458,288242
变长32至512字节,256键均匀,1,1,200000,1756677,500,542,625,0
变长32至512字节,256键均匀,1,2,200000,1793227,500,542,625,0
变长32至512字节,256键均匀,1,3,200000,1710783,500,542,625,0
变长32至512字节,256键均匀,4,1,200000,1066708,1500,11709,25917,25904
变长32至512字节,256键均匀,4,2,200000,946828,1500,13750,28834,27177
变长32至512字节,256键均匀,4,3,200000,888143,1625,15667,30375,30126
变长32至512字节,单键热点,1,1,200000,1752549,500,583,625,0
变长32至512字节,单键热点,1,2,200000,1773544,500,542,625,0
变长32至512字节,单键热点,1,3,200000,1814496,459,541,583,0
变长32至512字节,单键热点,4,1,200000,774017,2292,16916,30250,449076
变长32至512字节,单键热点,4,2,200000,785281,2333,16667,29583,442588
变长32至512字节,单键热点,4,3,200000,782985,2334,16708,30166,436786
