布局,分布,线程,轮次,操作数,每秒操作,P50纳秒,P95纳秒,P99纳秒,拒绝重试
原子u64,256键均匀,1,1,200000,2238783,416,458,500,0
原子u64,256键均匀,1,2,200000,2230741,416,458,500,0
原子u64,256键均匀,1,3,200000,2229186,375,458,500,0
原子u64,256键均匀,4,1,200000,1077344,1583,11917,26083,22055
原子u64,256键均匀,4,2,200000,1081879,1542,12125,25834,22146
原子u64,256键均匀,4,3,200000,1102852,1542,11791,25542,24094
原子u64,单键热点,1,1,200000,2107763,417,500,542,0
原子u64,单键热点,1,2,200000,2064894,417,500,542,0
原子u64,单键热点,1,3,200000,2105315,417,500,542,0
原子u64,单键热点,4,1,200000,874378,1750,16958,38417,348407
原子u64,单键热点,4,2,200000,833017,1125,19167,44708,317825
原子u64,单键热点,4,3,200000,849203,1083,18542,38625,302359
变长32至512字节,256键均匀,1,1,200000,1550525,542,625,750,0
变长32至512字节,256键均匀,1,2,200000,1520756,583,667,792,0
变长32至512字节,256键均匀,1,3,200000,1590643,542,625,750,0
变长32至512字节,256键均匀,4,1,200000,1091036,1625,10875,22083,19624
变长32至512字节,256键均匀,4,2,200000,846343,1708,16375,31292,23987
变长32至512字节,256键均匀,4,3,200000,1075731,1625,10917,23541,22219
变长32至512字节,单键热点,1,1,200000,1688376,500,584,667,0
变长32至512字节,单键热点,1,2,200000,1690379,500,584,666,0
变长32至512字节,单键热点,1,3,200000,1700410,500,583,625,0
变长32至512字节,单键热点,4,1,200000,646364,2375,23375,50125,461265
变长32至512字节,单键热点,4,2,200000,748781,3250,15792,26917,613505
变长32至512字节,单键热点,4,3,200000,672038,2500,19875,47000,519963
