布局,分布,线程,轮次,操作数,每秒操作,P50纳秒,P95纳秒,P99纳秒,拒绝重试
原子u64,256键均匀,1,1,200000,2158227,416,459,541,0
原子u64,256键均匀,1,2,200000,2241158,416,458,500,0
原子u64,256键均匀,1,3,200000,2198652,416,459,542,0
原子u64,256键均匀,4,1,200000,1031763,1542,12500,27666,23611
原子u64,256键均匀,4,2,200000,1163226,1542,10458,22125,25412
原子u64,256键均匀,4,3,200000,1261888,1542,9084,16625,21830
原子u64,单键热点,1,1,200000,2148352,417,459,500,0
原子u64,单键热点,1,2,200000,2175905,417,459,500,0
原子u64,单键热点,1,3,200000,2041652,417,500,542,0
原子u64,单键热点,4,1,200000,902138,1458,16292,32250,319746
原子u64,单键热点,4,2,200000,874248,1458,17250,34375,317999
原子u64,单键热点,4,3,200000,873360,834,18250,43792,272333
变长32至512字节,256键均匀,1,1,200000,1595494,542,625,791,0
变长32至512字节,256键均匀,1,2,200000,1603728,542,625,708,0
变长32至512字节,256键均匀,1,3,200000,1647198,541,625,708,0
变长32至512字节,256键均匀,4,1,200000,1115052,1625,10167,22667,22257
变长32至512字节,256键均匀,4,2,200000,1152193,1625,8958,17000,22799
变长32至512字节,256键均匀,4,3,200000,1195341,1625,9167,17375,23568
变长32至512字节,单键热点,1,1,200000,1685863,541,584,667,0
变长32至512字节,单键热点,1,2,200000,1638138,541,625,667,0
变长32至512字节,单键热点,1,3,200000,1705305,500,583,625,0
变长32至512字节,单键热点,4,1,200000,652162,833,27083,74333,225491
变长32至512字节,单键热点,4,2,200000,694019,916,22042,58167,285929
变长32至512字节,单键热点,4,3,200000,688040,2209,20667,45333,415943
